,id,B,S,Bl,Bt,Sl,St,0,1,2,3,4,5,6,7,8,9
0,0,"(0, 5)","(3, 3)",0,5,3,3,0.87,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,"(3, 5)","(2, 4)",3,5,2,4,0.26,0.46,0.43,0.59,0.39,0.58,0.46,0.44,0.44,0.52
2,2,"(8, 8)","(1, 6)",8,8,1,6,0.89,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
3,3,"(1, 8)","(5, 9)",1,8,5,9,0.05,0.35,0.51,0.62,0.67,0.69,0.7,0.72,0.73,0.76
4,4,"(4, 9)","(0, 3)",4,9,0,3,0.78,0.22,0.27,0.24,0.22,0.19,0.23,0.19,0.23,0.19
5,5,"(0, 2)","(3, 8)",0,2,3,8,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
6,6,"(3, 3)","(0, 7)",3,3,0,7,0.63,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
7,7,"(0, 9)","(4, 7)",0,9,4,7,0.26,0.78,0.92,0.42,0.83,0.74,0.6,0.78,0.84,0.75
8,8,"(2, 7)","(0, 2)",2,7,0,2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
9,9,"(5, 5)","(6, 8)",5,5,6,8,0.64,0.38,0.16,0.04,0.0,0.0,0.0,0.0,0.0,0.0
10,10,"(4, 9)","(1, 8)",4,9,1,8,0.71,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,11,"(9, 9)","(3, 6)",9,9,3,6,0.62,0.52,0.45,0.41,0.38,0.34,0.31,0.3,0.28,0.27
12,12,"(0, 2)","(3, 5)",0,2,3,5,0.3,0.48,0.46,0.33,0.49,0.38,0.35,0.46,0.43,0.37
13,13,"(4, 4)","(4, 6)",4,4,4,6,0.57,0.58,0.59,0.59,0.58,0.59,0.59,0.63,0.59,0.61
14,14,"(3, 4)","(4, 4)",3,4,4,4,0.27,0.25,0.24,0.28,0.12,0.04,0.02,0.0,0.0,0.0
15,15,"(3, 4)","(5, 7)",3,4,5,7,0.68,0.51,0.48,0.48,0.33,0.23,0.22,0.16,0.16,0.12
16,16,"(1, 5)","(3, 9)",1,5,3,9,0.39,0.81,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
17,17,"(0, 5)","(1, 2)",0,5,1,2,0.7,0.07,0.98,0.0,1.0,0.0,1.0,0.0,1.0,0.0
18,18,"(0, 3)","(0, 2)",0,3,0,2,0.66,0.01,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
19,19,"(0, 9)","(2, 7)",0,9,2,7,0.53,0.98,0.18,0.98,0.18,0.98,0.18,0.98,0.18,0.98
20,20,"(2, 9)","(3, 3)",2,9,3,3,0.69,0.33,0.67,0.4,0.5,0.57,0.52,0.48,0.58,0.46
21,21,"(3, 4)","(1, 2)",3,4,1,2,0.48,0.41,0.18,0.26,0.22,0.28,0.38,0.28,0.26,0.32
22,22,"(1, 9)","(4, 6)",1,9,4,6,0.31,0.73,0.89,0.29,0.49,0.79,0.55,0.69,0.78,0.46
23,23,"(2, 3)","(0, 0)",2,3,0,0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,"(3, 6)","(3, 8)",3,6,3,8,0.22,0.2,0.25,0.31,0.41,0.53,0.69,0.83,0.94,0.98
25,25,"(2, 8)","(2, 3)",2,8,2,3,0.33,0.7,0.34,0.5,0.61,0.44,0.56,0.48,0.44,0.51
26,26,"(0, 8)","(3, 8)",0,8,3,8,0.38,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,27,"(2, 8)","(3, 4)",2,8,3,4,0.95,0.05,0.05,0.1,0.19,0.24,0.44,0.35,0.52,0.61
