,id,B,S,size,density,iterations,file,density_evolution
28,28,"(0, 4)","(3, 6)",10,0.8137978197024772,10,./data/datasets/BISI/dataset13/individuals/ca_28,"[0.83, 0.34, 0.75, 0.46, 0.71, 0.5, 0.69, 0.6, 0.64, 0.64]"
29,29,"(0, 8)","(5, 8)",10,0.965416220519927,10,./data/datasets/BISI/dataset13/individuals/ca_29,"[0.98, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
30,30,"(0, 9)","(5, 6)",10,0.9560836347232239,10,./data/datasets/BISI/dataset13/individuals/ca_30,"[0.95, 0.12, 0.91, 0.25, 0.83, 0.35, 0.8, 0.49, 0.76, 0.61]"
31,31,"(1, 8)","(0, 4)",10,0.6063932141279244,10,./data/datasets/BISI/dataset13/individuals/ca_31,"[0.57, 0.7, 0.41, 0.55, 0.54, 0.58, 0.52, 0.57, 0.49, 0.49]"
32,32,"(6, 9)","(5, 7)",10,0.29007760721044407,10,./data/datasets/BISI/dataset13/individuals/ca_32,"[0.31, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
33,33,"(2, 9)","(6, 8)",10,0.10286335869343821,10,./data/datasets/BISI/dataset13/individuals/ca_33,"[0.14, 0.24, 0.39, 0.46, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
34,34,"(6, 9)","(1, 6)",10,0.6532008198571336,10,./data/datasets/BISI/dataset13/individuals/ca_34,"[0.72, 0.7, 0.6, 0.5, 0.5, 0.48, 0.51, 0.5, 0.5, 0.47]"
35,35,"(3, 8)","(2, 3)",10,0.36756187004789653,10,./data/datasets/BISI/dataset13/individuals/ca_35,"[0.34, 0.61, 0.26, 0.42, 0.37, 0.46, 0.61, 0.43, 0.43, 0.36]"
36,36,"(3, 6)","(5, 6)",10,0.7038885835403663,10,./data/datasets/BISI/dataset13/individuals/ca_36,"[0.68, 0.6, 0.66, 0.65, 0.63, 0.62, 0.69, 0.54, 0.6, 0.56]"
37,37,"(0, 8)","(4, 6)",10,0.9988470065678665,10,./data/datasets/BISI/dataset13/individuals/ca_37,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]"
38,38,"(2, 8)","(3, 9)",10,0.12381998284944151,10,./data/datasets/BISI/dataset13/individuals/ca_38,"[0.15, 0.32, 0.62, 0.89, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0]"
39,39,"(3, 4)","(3, 5)",10,0.40718329722599966,10,./data/datasets/BISI/dataset13/individuals/ca_39,"[0.42, 0.58, 0.52, 0.57, 0.56, 0.61, 0.47, 0.53, 0.59, 0.56]"
40,40,"(9, 9)","(7, 9)",10,0.45354268267806885,10,./data/datasets/BISI/dataset13/individuals/ca_40,"[0.44, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41,41,"(2, 3)","(7, 9)",10,0.3599780644783639,10,./data/datasets/BISI/dataset13/individuals/ca_41,"[0.34, 0.37, 0.31, 0.3, 0.34, 0.33, 0.29, 0.28, 0.41, 0.29]"
42,42,"(1, 5)","(2, 2)",10,0.4895489368910937,10,./data/datasets/BISI/dataset13/individuals/ca_42,"[0.49, 0.51, 0.42, 0.51, 0.41, 0.5, 0.44, 0.48, 0.49, 0.51]"
43,43,"(5, 8)","(0, 4)",10,0.7936977033574206,10,./data/datasets/BISI/dataset13/individuals/ca_43,"[0.8, 0.23, 0.24, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
44,44,"(5, 5)","(0, 8)",10,0.5966554062950531,10,./data/datasets/BISI/dataset13/individuals/ca_44,"[0.62, 0.77, 0.78, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79, 0.79]"
