Dataset,Model,MSE,R2,CV MSE,CV R2,MSE by iteration,R2 by iteration
dataset11_density,KNN,0.1674464178476355,0.8426054891353917,,,"{'1': 0.06288533841569094, '2': 0.17074550579827155, '3': 0.17257649455173024, '4': 0.17778149806470125, '5': 0.1684339509653413, '6': 0.19081814475187658, '7': 0.17656922378350054, '8': 0.2146047431371285, '9': 0.1726028611604778}","{'1': 0.9396957565263323, '2': 0.8395950813678243, '3': 0.8379766207136963, '4': 0.8351463311297542, '5': 0.8404987744242991, '6': 0.8196099401811535, '7': 0.8350318978820925, '8': 0.7980634752561805, '9': 0.8378315247371916}"
dataset11_density,DecisionTree,0.1550130053975636,0.8542467101982774,,,"{'1': 0.07612330835853327, '2': 0.12477034044250376, '3': 0.16076999237098064, '4': 0.16843843801673097, '5': 0.16796261167994947, '6': 0.18444844722995418, '7': 0.1661726624541942, '8': 0.19079802088438097, '9': 0.15563322714084418}","{'1': 0.9270011319501995, '2': 0.8827859262659945, '3': 0.8490611510018159, '4': 0.8438099870453004, '5': 0.8409451167041726, '6': 0.8256315379621278, '7': 0.8447453742982944, '8': 0.82046487555603, '9': 0.8537752910005634}"
dataset11_density,RandomForest,0.099173078166178,0.9067561681013704,,,"{'1': 0.04377049624865012, '2': 0.07199215306315836, '3': 0.10369759002899602, '4': 0.10448780401793138, '5': 0.10700492070924028, '6': 0.12145660385764362, '7': 0.1083440271095974, '8': 0.12422873282018845, '9': 0.10757537564019634}","{'1': 0.958026040262459, '2': 0.9323677926381595, '3': 0.9026435552304757, '4': 0.9031102896979623, '5': 0.8986699777691108, '6': 0.8851809189122787, '7': 0.8987744967945452, '8': 0.8831045474003917, '9': 0.8989278942069525}"
dataset11_density,NeuralNetwork,0.11138011119293033,0.8953227900733841,,,"{'1': 0.03205279682111743, '2': 0.07040577124797932, '3': 0.09825793380632648, '4': 0.11982101292098045, '5': 0.1211490791032424, '6': 0.13656383407809308, '7': 0.1359094498922081, '8': 0.15395875131420908, '9': 0.1343023715522167}","{'1': 0.9692627930101053, '2': 0.9338581009469707, '3': 0.9077505745012171, '4': 0.8888920736814585, '5': 0.8852759406070638, '6': 0.8708992887942018, '7': 0.8730202040413484, '8': 0.855129505807691, '9': 0.8738166292704005}"
dataset12_density,KNN,0.1800612466984164,0.8233024387084225,,,"{'1': 0.10721320139285484, '2': 0.1663628163803893, '3': 0.1811248630299553, '4': 0.18361461246539693, '5': 0.18556007202830926, '6': 0.19683778603302737, '7': 0.19559758630686971, '8': 0.20833856775649143, '9': 0.19590171489245412}","{'1': 0.8967802018766635, '2': 0.8372706283952425, '3': 0.8240678402827065, '4': 0.8209616738636487, '5': 0.8166210115767423, '6': 0.8070075473523054, '7': 0.8068589099987111, '8': 0.794435910384647, '9': 0.8057182246451347}"
dataset12_density,DecisionTree,0.2088140747354798,0.7951218166360579,,,"{'1': 0.13715269430417806, '2': 0.19493947367837308, '3': 0.21159711741656043, '4': 0.2133559066380813, '5': 0.2080952976479966, '6': 0.22047392891742038, '7': 0.23060875578732137, '8': 0.23659061535861425, '9': 0.22651288287077337}","{'1': 0.8679558745170312, '2': 0.8093180991832305, '3': 0.7944692007806102, '4': 0.7919616315777456, '5': 0.794350666276393, '6': 0.7838331493958837, '7': 0.7722874433290492, '8': 0.7665600998343508, '9': 0.7753601848302267}"
dataset12_density,RandomForest,0.1042538122109534,0.8976790900780056,,,"{'1': 0.055390004151545186, '2': 0.09477232794461232, '3': 0.10516277641619433, '4': 0.11084126541520095, '5': 0.1045881118096797, '6': 0.11167758593507457, '7': 0.1182673026666946, '8': 0.1237519713238947, '9': 0.11383296423568388}","{'1': 0.9466731244632502, '2': 0.9072975457647715, '3': 0.8978521553183559, '4': 0.8919212672656296, '5': 0.8966412227850848, '6': 0.8905040965469538, '7': 0.8832180080549621, '8': 0.8778960535380321, '9': 0.8871083369650103}"
dataset12_density,NeuralNetwork,0.060091137471847,0.940979389713275,,,"{'1': 0.0195028170809093, '2': 0.04223976685506365, '3': 0.06640528856794917, '4': 0.06236736581218075, '5': 0.06475112996333322, '6': 0.06304471075107633, '7': 0.0727377203376536, '8': 0.07585187420376117, '9': 0.07391956367469632}","{'1': 0.9812236103784326, '2': 0.9586827701850194, '3': 0.935498497340604, '4': 0.9391870362025209, '5': 0.936009958488659, '6': 0.9381869020195484, '7': 0.9281757875673238, '8': 0.9251582573777744, '9': 0.9266916878595932}"
dataset12_density,Neural Network,0.060091137471847,0.940979389713275,,,"{'1': 0.0195028170809093, '2': 0.04223976685506365, '3': 0.06640528856794917, '4': 0.06236736581218075, '5': 0.06475112996333322, '6': 0.06304471075107633, '7': 0.0727377203376536, '8': 0.07585187420376117, '9': 0.07391956367469632}","{'1': 0.9812236103784326, '2': 0.9586827701850194, '3': 0.935498497340604, '4': 0.9391870362025209, '5': 0.936009958488659, '6': 0.9381869020195484, '7': 0.9281757875673238, '8': 0.9251582573777744, '9': 0.9266916878595932}"
dataset13_density,KNN,0.2137926528990056,0.7885222934292548,,,"{'1': 0.10721320139285484, '2': 0.1663628163803893, '3': 0.1811248630299553, '4': 0.18361461246539693, '5': 0.18556007202830926, '6': 0.19683778603302737, '7': 0.19559758630686971, '8': 0.20833856775649143, '9': 0.19590171489245412, '10': 0.21033915098927491, '11': 0.2141416371830387, '12': 0.2218169051126768, '13': 0.20821324615262704, '14': 0.21626125581851696, '15': 0.20156532104985447, '16': 0.22702793606622088, '17': 0.21351677259803276, '18': 0.22598099343670958, '19': 0.22020211925852198, '20': 0.21558717135120187, '21': 0.21788569238293512, '22': 0.23708004632011803, '23': 0.2165109579799535, '24': 0.2218254714171041, '25': 0.21674989072724576, '26': 0.2229356445323838, '27': 0.21634057486479383, '28': 0.22570371625008176, '29': 0.21814153643758397, '30': 0.2227298460734661, '31': 0.2147963412791176, '32': 0.23243126080806667, '33': 0.20939099269838954, '34': 0.22870243103038831, '35': 0.22356623855357025, '36': 0.2229291350288249, '37': 0.22038940179280567, '38': 0.2265358551288661, '39': 0.21128723277067796, '40': 0.22735228711233182, '41': 0.22561374078265362, '42': 0.23290242312964288, '43': 0.2194144139261258, '44': 0.22756675990350717, '45': 0.221021891738519, '46': 0.2328396207324118, '47': 0.23291065182480114, '48': 0.23055822892292974, '49': 0.22452397859955675}","{'1': 0.8967802018766635, '2': 0.8372706283952425, '3': 0.8240678402827065, '4': 0.8209616738636487, '5': 0.8166210115767423, '6': 0.8070075473523054, '7': 0.8068589099987111, '8': 0.794435910384647, '9': 0.8057182246451347, '10': 0.7927165577454612, '11': 0.7873974963274684, '12': 0.7813379974038449, '13': 0.7906771990823716, '14': 0.7867666459180818, '15': 0.7995086350056481, '16': 0.7781256644962411, '17': 0.7857271086626241, '18': 0.7792525380678093, '19': 0.7810393136847422, '20': 0.7861137852044252, '21': 0.7854193938173397, '22': 0.7649232056293265, '23': 0.7844586907293272, '24': 0.7809680603273206, '25': 0.7835187394165619, '26': 0.7808428255295674, '27': 0.7844627250110191, '28': 0.776391041847152, '29': 0.7830960471596016, '30': 0.778865849001207, '31': 0.7862401136454134, '32': 0.7707335457668625, '33': 0.7918049456085494, '34': 0.7731646665938531, '35': 0.7792279930950438, '36': 0.7798540706363037, '37': 0.7808571329160824, '38': 0.7755442868835757, '39': 0.7899778212549052, '40': 0.7743571857634718, '41': 0.776814357474622, '42': 0.7711092365100878, '43': 0.7816713015366346, '44': 0.7740172594791513, '45': 0.7811494069251967, '46': 0.7703401475783366, '47': 0.7698170335367042, '48': 0.7725404755081915, '49': 0.777039928877558}"
