Dataset,Model,Model variation,Number of individuals,Execution,RMSE,R2,RMSE by iteration,R2 by iteration
dataset9_density,KNN,vector,1000,3,0.2653828806669552,0.9286070144323676,"{'1': 0.23605991240166405, '2': 0.22015562387654072, '3': 0.24693177250867904, '4': 0.26405220563546816, '5': 0.26680325538269295, '6': 0.28021477641804715, '7': 0.2829200308068613, '8': 0.29546463663289185, '9': 0.29584371233975165}","{'1': 0.9467684957284752, '2': 0.9521302744054769, '3': 0.9388618036320642, '4': 0.9298117913546827, '5': 0.928210493052736, '6': 0.9205168844576906, '7': 0.918995912338074, '8': 0.9112519242114557, '9': 0.9109155507106514}"
dataset9_density,KNN,vector,1000,4,0.2004227349494723,0.9590057368249058,"{'1': 0.15084360443675945, '2': 0.17071700125879072, '3': 0.18639289973357087, '4': 0.20640676096729613, '5': 0.21049334033249395, '6': 0.2134153621168724, '7': 0.21564870278052897, '8': 0.22350387775147845, '9': 0.22638306516746023}","{'1': 0.9774415441373536, '2': 0.9707152088395481, '3': 0.9650708087978982, '4': 0.9571692967064954, '5': 0.9555312855333478, '6': 0.9541527502861729, '7': 0.95313384921199, '8': 0.9495979923846054, '9': 0.9482388955267411}"
dataset9_density,KNN,vector,1000,5,0.2545779015848483,0.9348051952600832,"{'1': 0.19404552639490572, '2': 0.214229022947171, '3': 0.23897614877303666, '4': 0.2599280857447011, '5': 0.26372932890777634, '6': 0.2762843818941166, '7': 0.2767035029322725, '8': 0.2844898835213583, '9': 0.2828152331482963}","{'1': 0.9630406107983321, '2': 0.9547386891198342, '3': 0.9435906468443361, '4': 0.9332024220168911, '5': 0.9310060052376061, '6': 0.9242707892149472, '7': 0.923945574283143, '8': 0.9193745322412781, '9': 0.9200774875843784}"
dataset9_density,KNN,vector,1000,6,0.2163898650860341,0.9537419474713212,"{'1': 0.19812932685530218, '2': 0.19580344619704199, '3': 0.18892678570094362, '4': 0.2036570424196568, '5': 0.2196962442388755, '6': 0.22793704017858074, '7': 0.23165869097534345, '8': 0.2379845115531783, '9': 0.24371569765538476}","{'1': 0.9638106518223767, '2': 0.9628041221103928, '3': 0.9647571522804826, '4': 0.9588712846384827, '5': 0.952416244546618, '6': 0.9486974751209165, '7': 0.9469547828798183, '8': 0.9440386913257239, '9': 0.9413271225170812}"
dataset9_density,KNN,vector,1000,7,0.2527899455115673,0.9384472781194164,"{'1': 0.19071339349898989, '2': 0.20881666760128456, '3': 0.22745335007598735, '4': 0.24672192380779473, '5': 0.26508786528892997, '6': 0.2719641836772336, '7': 0.28108164189934387, '8': 0.2895682412986558, '9': 0.2937022424558857}","{'1': 0.9650963743648242, '2': 0.9597341178150705, '3': 0.9518429348133393, '4': 0.9430862477841451, '5': 0.9339749895348529, '6': 0.9300349061483615, '7': 0.924865818904121, '8': 0.9200050895212162, '9': 0.9173850241888166}"
dataset9_density,KNN,vector,1000,8,0.2176553577452037,0.9547601501945494,"{'1': 0.19705366465318241, '2': 0.19499024228866227, '3': 0.2012349700757184, '4': 0.21167956222124942, '5': 0.21940750012626098, '6': 0.22898627560140206, '7': 0.22943470163582969, '8': 0.23784806283288168, '9': 0.2382632402716468}","{'1': 0.9635447482789811, '2': 0.9636138039526853, '3': 0.9614655107683981, '4': 0.9575304335263161, '5': 0.9544186550735353, '6': 0.9502803821174463, '7': 0.9500263799059112, '8': 0.9461447337590613, '9': 0.9458167043686104}"
dataset9_density,KNN,vector,1000,9,0.23992399182121,0.9391287347343904,"{'1': 0.18570161078953992, '2': 0.19172936376700744, '3': 0.20650544727545128, '4': 0.22871506026419192, '5': 0.2516325057380652, '6': 0.267730091554463, '7': 0.2712698311074905, '8': 0.27680980742198896, '9': 0.2792222084726918}","{'1': 0.9638226135896525, '2': 0.9599541162829681, '3': 0.9548208264204663, '4': 0.9454458276705094, '5': 0.9348570960799143, '6': 0.9266898559430261, '7': 0.9247696695086908, '8': 0.921574814914263, '9': 0.9202237922000229}"
dataset9_density,DecisionTree,vector,1000,0,0.4355621324394587,0.8030970821448121,"{'1': 0.4301057822233254, '2': 0.39048509153910854, '3': 0.3989148102966893, '4': 0.4169643673295136, '5': 0.4274546726086435, '6': 0.4468591104519494, '7': 0.4560828689791551, '8': 0.47553168268517104, '9': 0.4776608058415728}","{'1': 0.8192152754047495, '2': 0.8476745178978244, '3': 0.8365259990961484, '4': 0.8189433019825981, '5': 0.8074367690148627, '6': 0.7900530785104991, '7': 0.7813379140811954, '8': 0.7644809442939281, '9': 0.7622059390215019}"
dataset9_density,DecisionTree,vector,1000,1,0.3804451610990518,0.86669347247093,"{'1': 0.3536884081203745, '2': 0.36119072270487673, '3': 0.37097439216959727, '4': 0.3807222996517466, '5': 0.3840946547507428, '6': 0.39168082689795536, '7': 0.39088201646873005, '8': 0.3949775818677667, '9': 0.3957955472596761}","{'1': 0.8762126452614968, '2': 0.8778798750602234, '3': 0.8747418251777703, '4': 0.8695833917957236, '5': 0.8669943367778942, '6': 0.8609152937620256, '7': 0.8607273539665073, '8': 0.8570409259446534, '9': 0.8561456044920751}"
dataset9_density,DecisionTree,vector,1000,2,0.327088049418398,0.8903712696428643,"{'1': 0.3637026543702516, '2': 0.3159844986011235, '3': 0.3083580412906295, '4': 0.3025756970012493, '5': 0.3181915737267092, '6': 0.31538592272603433, '7': 0.32933085931264894, '8': 0.33484254949791864, '9': 0.3554206482390173}","{'1': 0.8602463309643708, '2': 0.8985653919475728, '3': 0.9042913577688064, '4': 0.9076759538714363, '5': 0.89717418961159, '6': 0.8985750060590746, '7': 0.8889875007554718, '8': 0.8860534645064342, '9': 0.8717722313010228}"
