,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
21,0.00416417121887207,0.0007397366099361459,0.0,0.0,poisson,1,auto,11,12,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 11, 'min_samples_split': 12, 'splitter': 'random'}",,,,,,,,1025
22,0.004256200790405273,0.0004591304124736974,0.0,0.0,poisson,1,auto,11,17,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 11, 'min_samples_split': 17, 'splitter': 'best'}",,,,,,,,1025
23,0.0037854671478271484,0.000144499566759284,0.0,0.0,poisson,1,auto,11,17,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 11, 'min_samples_split': 17, 'splitter': 'random'}",,,,,,,,1025
24,0.004364585876464844,0.0005618102925673884,0.0,0.0,poisson,1,auto,16,2,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 16, 'min_samples_split': 2, 'splitter': 'best'}",,,,,,,,1025
25,0.0038156509399414062,0.0004090754270625228,0.0,0.0,poisson,1,auto,16,2,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 16, 'min_samples_split': 2, 'splitter': 'random'}",,,,,,,,1025
26,0.003396415710449219,0.0004913298841119474,0.0,0.0,poisson,1,auto,16,7,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 16, 'min_samples_split': 7, 'splitter': 'best'}",,,,,,,,1025
27,0.003600740432739258,0.0004155964408880524,0.0,0.0,poisson,1,auto,16,7,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 16, 'min_samples_split': 7, 'splitter': 'random'}",,,,,,,,1025
28,0.0034651756286621094,0.0006529377017330245,0.0,0.0,poisson,1,auto,16,12,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 16, 'min_samples_split': 12, 'splitter': 'best'}",,,,,,,,1025
29,0.0034459114074707033,0.000505168369942812,0.0,0.0,poisson,1,auto,16,12,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 16, 'min_samples_split': 12, 'splitter': 'random'}",,,,,,,,1025
30,0.00400238037109375,0.0006354408329541095,0.0,0.0,poisson,1,auto,16,17,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 16, 'min_samples_split': 17, 'splitter': 'best'}",,,,,,,,1025
31,0.0038707733154296877,0.0006485044850749658,0.0,0.0,poisson,1,auto,16,17,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'auto', 'min_samples_leaf': 16, 'min_samples_split': 17, 'splitter': 'random'}",,,,,,,,1025
32,0.0034012794494628906,0.0009214261751179126,0.0,0.0,poisson,1,sqrt,1,2,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",,,,,,,,1025
33,0.0037379741668701174,0.000688245145165945,0.0,0.0,poisson,1,sqrt,1,2,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",,,,,,,,1025
34,0.0034802436828613283,0.0006161999535991497,0.0,0.0,poisson,1,sqrt,1,7,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 7, 'splitter': 'best'}",,,,,,,,1025
35,0.0034264564514160157,0.0005138318672585231,0.0,0.0,poisson,1,sqrt,1,7,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 7, 'splitter': 'random'}",,,,,,,,1025
36,0.0034610271453857423,0.0004959543053040518,0.0,0.0,poisson,1,sqrt,1,12,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 12, 'splitter': 'best'}",,,,,,,,1025
37,0.0037134170532226564,0.0003873909827713407,0.0,0.0,poisson,1,sqrt,1,12,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 12, 'splitter': 'random'}",,,,,,,,1025
38,0.004683160781860351,0.0008455092442955693,0.0,0.0,poisson,1,sqrt,1,17,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 17, 'splitter': 'best'}",,,,,,,,1025
39,0.004225397109985351,0.00040772788161144035,0.0,0.0,poisson,1,sqrt,1,17,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 17, 'splitter': 'random'}",,,,,,,,1025
40,0.005253505706787109,0.0006506211135858463,0.0,0.0,poisson,1,sqrt,6,2,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 2, 'splitter': 'best'}",,,,,,,,1025
41,0.0043185710906982425,0.0004075967545763329,0.0,0.0,poisson,1,sqrt,6,2,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 2, 'splitter': 'random'}",,,,,,,,1025
42,0.005997133255004883,0.000275447922088918,0.0,0.0,poisson,1,sqrt,6,7,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 7, 'splitter': 'best'}",,,,,,,,1025
43,0.0047190189361572266,0.000971563696097098,0.0,0.0,poisson,1,sqrt,6,7,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 7, 'splitter': 'random'}",,,,,,,,1025
44,0.00468149185180664,0.0012459526888413221,0.0,0.0,poisson,1,sqrt,6,12,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 12, 'splitter': 'best'}",,,,,,,,1025
45,0.003596067428588867,0.0003874926736772023,0.0,0.0,poisson,1,sqrt,6,12,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 12, 'splitter': 'random'}",,,,,,,,1025
46,0.0032768726348876955,0.00039840842904749046,0.0,0.0,poisson,1,sqrt,6,17,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 17, 'splitter': 'best'}",,,,,,,,1025
47,0.0032721042633056642,0.00034951146905949214,0.0,0.0,poisson,1,sqrt,6,17,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 17, 'splitter': 'random'}",,,,,,,,1025
48,0.004776668548583984,0.0008891779837108824,0.0,0.0,poisson,1,sqrt,11,2,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_leaf': 11, 'min_samples_split': 2, 'splitter': 'best'}",,,,,,,,1025
