,id,B,S,Bl,Bt,Sl,St,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
13,13,"(3, 4)","(4, 4)",3,4,4,4,0.25,0.22,0.16,0.17,0.18,0.17,0.14,0.13,0.1,0.1,0.07,0.05,0.05,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,"(3, 4)","(5, 7)",3,4,5,7,0.74,0.6,0.55,0.44,0.47,0.35,0.33,0.27,0.24,0.19,0.19,0.2,0.15,0.07,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,"(1, 5)","(0, 3)",1,5,0,3,0.67,0.22,0.64,0.37,0.46,0.57,0.4,0.52,0.48,0.51,0.41,0.61,0.35,0.5,0.51,0.51,0.42,0.57,0.41,0.59,0.4,0.47,0.53,0.5,0.39,0.55,0.41,0.55,0.45,0.59,0.31,0.56,0.39,0.69,0.27,0.63,0.36,0.69,0.29,0.58,0.38,0.51,0.47,0.61,0.4,0.6,0.32,0.52,0.48,0.54
16,16,"(0, 1)","(2, 4)",0,1,2,4,0.09,0.76,0.05,0.86,0.04,0.93,0.01,0.99,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
17,17,"(2, 3)","(0, 7)",2,3,0,7,0.47,0.63,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
18,18,"(0, 2)","(2, 7)",0,2,2,7,0.63,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
19,19,"(3, 3)","(2, 3)",3,3,2,3,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,"(1, 2)","(4, 6)",1,2,4,6,0.27,0.45,0.57,0.48,0.48,0.49,0.48,0.41,0.47,0.46,0.48,0.5,0.41,0.46,0.48,0.32,0.49,0.24,0.49,0.27,0.46,0.49,0.49,0.43,0.42,0.35,0.5,0.43,0.41,0.46,0.44,0.51,0.45,0.47,0.36,0.46,0.33,0.45,0.42,0.39,0.41,0.39,0.42,0.44,0.46,0.45,0.5,0.44,0.38,0.48
21,21,"(2, 3)","(0, 0)",2,3,0,0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,"(3, 6)","(3, 8)",3,6,3,8,0.14,0.08,0.05,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,"(2, 8)","(2, 3)",2,8,2,3,0.32,0.74,0.3,0.49,0.42,0.67,0.38,0.53,0.58,0.4,0.51,0.63,0.36,0.55,0.55,0.46,0.55,0.56,0.5,0.43,0.65,0.38,0.64,0.39,0.62,0.38,0.57,0.5,0.43,0.55,0.53,0.48,0.44,0.65,0.35,0.58,0.48,0.4,0.58,0.42,0.54,0.54,0.52,0.39,0.79,0.22,0.47,0.4,0.67,0.31
24,24,"(0, 8)","(3, 8)",0,8,3,8,0.39,0.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,25,"(2, 8)","(3, 4)",2,8,3,4,0.96,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,"(0, 4)","(3, 6)",0,4,3,6,0.79,0.46,0.61,0.68,0.55,0.71,0.55,0.68,0.61,0.66,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
27,27,"(0, 8)","(5, 8)",0,8,5,8,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,28,"(0, 6)","(3, 5)",0,6,3,5,0.8,0.24,0.89,0.11,0.95,0.04,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
29,29,"(0, 4)","(5, 6)",0,4,5,6,0.77,0.35,0.61,0.55,0.56,0.41,0.53,0.57,0.41,0.55,0.5,0.51,0.55,0.43,0.65,0.45,0.53,0.51,0.6,0.49,0.41,0.62,0.47,0.54,0.49,0.54,0.39,0.61,0.53,0.46,0.59,0.55,0.47,0.52,0.57,0.48,0.47,0.59,0.47,0.49,0.59,0.53,0.42,0.66,0.57,0.4,0.58,0.53,0.47,0.46
30,30,"(7, 8)","(2, 8)",7,8,2,8,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,31,"(1, 6)","(6, 8)",1,6,6,8,0.68,0.58,0.59,0.51,0.5,0.54,0.5,0.5,0.49,0.5,0.51,0.5,0.48,0.51,0.55,0.47,0.53,0.47,0.52,0.49,0.53,0.46,0.54,0.47,0.53,0.46,0.54,0.47,0.53,0.46,0.54,0.47,0.53,0.46,0.54,0.47,0.53,0.46,0.54,0.47,0.53,0.46,0.54,0.47,0.53,0.46,0.54,0.47,0.53,0.46
32,32,"(2, 3)","(3, 6)",2,3,3,6,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
