Dataset,Model,Model variation,Number of individuals,Execution,RMSE,R2,RMSE by iteration,R2 by iteration
dataset14_density,KNN,vector,1000,0,0.5249480673303649,0.7336132088256409,"{'1': 0.3032055569328943, '2': 0.6375655966361911, '3': 0.4483324856835581, '4': 0.5911696525848984, '5': 0.49244148736464505, '6': 0.6127586201455602, '7': 0.48890805064765297, '8': 0.6440658986887433, '9': 0.5060852572891402}","{'1': 0.9119321806810641, '2': 0.6229185777936503, '3': 0.8145982699597651, '4': 0.6782797375330554, '5': 0.7761512384089979, '6': 0.6457081997080099, '7': 0.7815665055001568, '8': 0.6090480230940598, '9': 0.7623161467520072}"
dataset14_density,KNN,vector,1000,1,0.4508751630573491,0.7975505985219479,"{'1': 0.3374965236640897, '2': 0.49995696328444605, '3': 0.407132644801667, '4': 0.5124923582971301, '5': 0.43199882545640395, '6': 0.5258229311194546, '7': 0.3946157149300219, '8': 0.5236068354503194, '9': 0.4247536705126094}","{'1': 0.8929002791592465, '2': 0.7432133995424799, '3': 0.8381379511372062, '4': 0.7443233697125056, '5': 0.8211113284112785, '6': 0.7238424594434274, '7': 0.8533710278188785, '8': 0.7348027235693306, '9': 0.8262528479031769}"
dataset14_density,KNN,vector,1000,2,0.4619200585327083,0.7668835500783974,"{'1': 0.3457481644114303, '2': 0.5066637724232324, '3': 0.3892756435743085, '4': 0.5285480760439957, '5': 0.40416342967988034, '6': 0.5491684834717196, '7': 0.4298279933303204, '8': 0.5744131614934805, '9': 0.4294718023660073}","{'1': 0.8723213553605262, '2': 0.7242149089124308, '3': 0.8425823854550638, '4': 0.6976833160031668, '5': 0.8282659174300077, '6': 0.677734589559247, '7': 0.8047497130294778, '8': 0.6492304957700752, '9': 0.8051692691855807}"
dataset14_density,KNN,vector,1000,3,0.4970611104197301,0.7528562921414655,"{'1': 0.29932351267144247, '2': 0.6449111160964442, '3': 0.3930261062366363, '4': 0.6027759984487874, '5': 0.442551843909605, '6': 0.6018134830652692, '7': 0.4229429832583803, '8': 0.6135862444944514, '9': 0.4526187055965552}","{'1': 0.9179968431598853, '2': 0.6185653469376419, '3': 0.8542710260969907, '4': 0.6542855385241858, '5': 0.8093567414554246, '6': 0.6545768665093185, '7': 0.8281437979097906, '8': 0.6408589428484635, '9': 0.7976515258314875}"
dataset14_density,KNN,vector,1000,4,0.3998561392044535,0.826656960960377,"{'1': 0.29379142131047276, '2': 0.45179158512184164, '3': 0.3396516719154046, '4': 0.45154235338433407, '5': 0.405267810219749, '6': 0.4462087679654213, '7': 0.37500081692551535, '8': 0.46769887029843754, '9': 0.36775195569890584}","{'1': 0.916527988989182, '2': 0.778430496608576, '3': 0.8753924386460675, '4': 0.7879590901252953, '5': 0.8265356034330895, '6': 0.7895498668646581, '7': 0.8508637397558365, '8': 0.7593354569808739, '9': 0.8553179672398143}"
dataset14_density,KNN,vector,1000,5,0.4273717754343999,0.8062039171826384,"{'1': 0.3213288445620258, '2': 0.5134371035266383, '3': 0.39232954501704564, '4': 0.4775216156536759, '5': 0.3800752760783612, '6': 0.489699681562395, '7': 0.381963053393161, '8': 0.49747911000949935, '9': 0.39251174910679776}","{'1': 0.8915925105193395, '2': 0.7268913839779385, '3': 0.8383817640845226, '4': 0.7605765627304422, '5': 0.8490764090744418, '6': 0.7555924759328816, '7': 0.84888348540407, '8': 0.7426992768444015, '9': 0.8421413860757085}"
dataset14_density,KNN,vector,1000,6,0.418224342399431,0.8176968108428299,"{'1': 0.3278659740922386, '2': 0.4374142983757226, '3': 0.33966268108032727, '4': 0.4687363429554336, '5': 0.3732559435468954, '6': 0.48988864011415467, '7': 0.388922442262563, '8': 0.5192782407847248, '9': 0.41899451838281915}","{'1': 0.8850246533195593, '2': 0.800087899928033, '3': 0.8828864599425427, '4': 0.7707361511389377, '5': 0.8610829545786961, '6': 0.7556001850742476, '7': 0.8467784713825423, '8': 0.7314220602701471, '9': 0.8256524619507634}"
dataset14_density,KNN,vector,1000,7,0.4155742349466972,0.8252162236310213,"{'1': 0.2928863104127641, '2': 0.47535854211558776, '3': 0.34900159860932567, '4': 0.45579308959065673, '5': 0.3916357943421384, '6': 0.4654418791303958, '7': 0.401914583640208, '8': 0.4781590176408813, '9': 0.42997729903831744}","{'1': 0.9197050094694532, '2': 0.7603275984070027, '3': 0.8790416543484432, '4': 0.794806256059772, '5': 0.8478439903403145, '6': 0.7853200494584052, '7': 0.8427012425854274, '8': 0.7774182724878982, '9': 0.8197819395224754}"
dataset14_density,KNN,vector,1000,8,0.4446221857678092,0.8058026978209463,"{'1': 0.3396585922698423, '2': 0.4514018289581854, '3': 0.4043629701037795, '4': 0.46641352584298224, '5': 0.46860655063320267, '6': 0.47825886435507486, '7': 0.44724626450857036, '8': 0.513865167211239, '9': 0.4317859080274066}","{'1': 0.8668144716193589, '2': 0.7872842459452793, '3': 0.8366943346356033, '4': 0.7927219724893094, '5': 0.7916852715294737, '6': 0.7846782452218176, '7': 0.814035646488032, '8': 0.7522287428942175, '9': 0.8260813495654246}"
dataset14_density,KNN,vector,1000,9,0.4315685036328485,0.7804827121069465,"{'1': 0.3139384363667644, '2': 0.5304331225236188, '3': 0.3900533524402635, '4': 0.5007902866401173, '5': 0.37724366772958645, '6': 0.5010411517316671, '7': 0.3869350066718835, '8': 0.4985893549221091, '9': 0.38509215366962574}","{'1': 0.8837656973174599, '2': 0.6819433551977641, '3': 0.81723847477065, '4': 0.7170895640646694, '5': 0.8347241440118256, '6': 0.7159739145744568, '7': 0.8287309682099991, '8': 0.7158411297246352, '9': 0.8290371610910591}"
