,id,B,S,0,1,2,3,4,5,6,7,8,9
66,66,1,2,0.53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,67,1,5,0.19,0.63,0.7,0.77,0.82,0.89,0.96,1.0,1.0,1.0
68,68,4,0,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,69,5,5,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,70,8,1,0.76,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
71,71,3,8,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73,73,3,7,0.73,0.62,0.52,0.48,0.48,0.52,0.48,0.52,0.48,0.52
74,74,2,1,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,75,1,4,0.23,0.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,76,5,5,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,77,5,2,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,78,5,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,79,6,1,0.3,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
80,80,2,3,0.13,0.27,0.53,0.79,0.97,1.0,1.0,1.0,1.0,1.0
81,81,5,9,0.7,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,82,0,9,0.59,0.41,0.59,0.41,0.59,0.41,0.59,0.41,0.59,0.41
83,83,1,9,0.38,0.6,0.4,0.6,0.4,0.6,0.4,0.6,0.4,0.6
84,84,6,0,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
85,85,8,4,0.91,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
86,86,3,8,0.66,0.38,0.41,0.48,0.47,0.53,0.47,0.53,0.47,0.53
