,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.04409074783325195,0.0018532399181191697,0.04974379539489746,0.00837363478322616,auto,1,1,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",0.6630494600587492,0.6655878263794889,0.694759718956078,0.6854242464534568,0.6862514830010555,0.6790145469697657,0.012462172823038837,1589
1,0.046428775787353514,0.0011878522845163544,0.05705761909484863,0.014557523679501085,auto,1,1,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 1, 'p': 1, 'weights': 'distance'}",0.6630494600587492,0.6655878263794889,0.694759718956078,0.6854242464534568,0.6862514830010555,0.6790145469697657,0.012462172823038837,1589
2,0.04460577964782715,0.00275566992685256,0.06459593772888184,0.006917687281589406,auto,1,1,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",0.6723267255005497,0.6688797948861719,0.6991765215322251,0.6907583020882464,0.6894446712754821,0.6841172030565351,0.01157983726719501,1487
3,0.042230081558227536,0.011664523889694894,0.07082834243774414,0.006897742300480725,auto,1,1,2,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 1, 'p': 2, 'weights': 'distance'}",0.6723267255005497,0.6688797948861719,0.6991765215322251,0.6907583020882464,0.6894446712754821,0.6841172030565351,0.01157983726719501,1487
4,0.040759611129760745,0.009224954273327288,0.08303046226501465,0.014561740795471003,auto,1,3,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.779458154833274,0.7810917908745918,0.7873919933513519,0.7842208382978764,0.7545081880528268,0.7773341930819841,0.011732369657244291,1376
5,0.033740663528442384,0.006770208616687522,0.07813692092895508,0.013975572399694006,auto,1,3,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.7864418839469924,0.7849495123988177,0.7924347888461283,0.7939049416302966,0.7687545591837203,0.7852971372011911,0.00894570895651719,1128
6,0.04060983657836914,0.007649626009518667,0.0956197738647461,0.0103773541410369,auto,1,3,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.7879097900236965,0.781821688852518,0.7931530184572517,0.7861392529041524,0.762868316197753,0.7823784132870742,0.010409476358893572,1273
7,0.040911197662353516,0.007922180792158012,0.10184240341186523,0.019712904925744623,auto,1,3,2,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.7945978017951296,0.7854470346838937,0.7975740188156961,0.7964546986603721,0.7748486860476774,0.7897844480005538,0.00860497729797367,1032
8,0.03641800880432129,0.006770461881963427,0.08678731918334961,0.014485942146945771,auto,1,5,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.7951626057184081,0.7984198807970908,0.8041073402935026,0.8023711394946791,0.7823527756272288,0.7964827483861818,0.007719571755081182,841
9,0.03466329574584961,0.006133962938558076,0.08343605995178223,0.007668320770424671,auto,1,5,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.8076467945872823,0.8060062483941162,0.8137596472297279,0.814383941390981,0.7952314714144615,0.8074056206033138,0.006918047865223535,481
10,0.03589234352111816,0.005647390876399131,0.11982192993164062,0.008890181949379173,auto,1,5,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.7980117176345615,0.79618773473341,0.8077234565379152,0.8018776596804585,0.7880666035444094,0.7983734344261508,0.006493710697781281,692
11,0.03436121940612793,0.006285858154296875,0.12198820114135742,0.011719115841661938,auto,1,5,2,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.8104571516253923,0.8044452309680595,0.8169602670931341,0.8144415029371397,0.8005384128166647,0.8093685130880781,0.006111701340599036,372
12,0.031246042251586913,0.009881892379051613,0.12200112342834472,0.0334257406628518,auto,1,7,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.8006317059130064,0.7936999871180798,0.8099012335348523,0.8043431966576838,0.7834691643590475,0.7984090575165339,0.009138928104012962,689
13,0.03187441825866699,0.010008743141868295,0.11254949569702148,0.038819265417525,auto,1,7,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.8166267976534954,0.8087110753352108,0.8229602347969746,0.8204036805176904,0.8018649430719815,0.8141133462750705,0.007789237338374962,169
14,0.04377613067626953,0.011704389955994264,0.13124046325683594,0.015925667339051548,auto,1,7,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.8020131514981826,0.7973737632676479,0.8099718108404854,0.8041092257171887,0.784937009384221,0.7996809921415451,0.008410202161476093,621
