,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0,10,0.009376764297485352,0.005851486653693429,0.0039806365966796875,0.005904827619997239,auto,1,1,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",-34.97533112982714,0.6917609141373958,-171.01887248017817,-52.06996127265875,0.6639106892553318,-51.34169865585427,63.25042071827124,1842,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0,10,0.00614461898803711,0.005270651571077545,0.007589530944824219,0.005183622999932589,auto,1,1,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 1, 'p': 1, 'weights': 'distance'}",-34.97533112982714,0.6917609141373958,-171.01887248017815,-52.06996127265875,0.6639106892553318,-51.34169865585426,63.25042071827123,1762,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0,10,0.00485682487487793,0.0029287390583107105,0.007737922668457031,0.005048262241740527,auto,1,1,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",-34.97533112982714,0.6917609141373958,-235.92880590746194,-52.06996127265875,0.6639106892553318,-64.32368534131102,88.215863587706,1922,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0,10,0.001243925094604492,0.002487850189208984,0.010179710388183594,0.0068250562230935665,auto,1,1,2,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 1, 'p': 2, 'weights': 'distance'}",-34.97533112982715,0.6917609141373958,-235.92880590746194,-52.06996127265875,0.6639106892553317,-64.32368534131102,88.215863587706,1922,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0,10,0.006077861785888672,0.005140669789812994,0.0054070472717285155,0.0066095008662201945,auto,1,3,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",-3.4234263207932742,0.6202716797721332,-28.563472194810945,-13.57701898218699,0.11159641829494543,-8.966409879944827,11.048455965262717,962,0.10356861756295982,0.10356861756295982,0.03378875494775191,-0.05972108286989598,0.2729653980447692,0.09083406104970895,0.10901117381599512
5,0,10,0.006156158447265625,0.005525361631849424,0.0064429759979248045,0.0035699747200540334,auto,1,3,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",-3.9379605652699428,0.6596446427142687,-37.84731758183875,-14.07824302551051,0.4146204965476992,-10.957851206671448,14.466225728313393,1202,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,0,10,0.005371999740600586,0.006424481894168889,0.004882669448852539,0.005806716738145175,auto,1,3,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",-7.351235140087187,0.3245117502777088,-28.563472194810945,-9.769451094307776,0.12908003800384915,-9.04611332818487,10.548136464732732,1042,0.1526231227682327,0.1526231227682327,-0.1118090073707057,-0.03946427180681914,0.2729653980447692,0.08538767288074196,0.1404999311140866
7,0,10,0.005640459060668945,0.0013657816192849087,0.003526735305786133,0.0009475616704766598,auto,1,3,2,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",-8.152075746727968,0.4662395000498168,-32.023379902658185,-10.554972478021508,0.4915375830414953,-9.954530208863268,11.902573448235854,1122,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,0,10,0.00330047607421875,0.0017883274831342097,0.18062891960144042,0.006418510016689664,auto,1,5,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",-0.6043720538253766,0.16942448232278423,-36.75249933924762,-44.41307299814298,0.07078948914788079,-16.30594608394906,19.971213552225283,1682,0.3128262297763994,0.3128262297763994,0.14762847639562449,0.007599991954634862,-0.005612092921861612,0.15505376699623932,0.13956759601080795
9,0,10,0.0056381702423095705,0.0015103201631567326,0.17235212326049804,0.002016500589586591,auto,1,5,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",-0.9001968139929214,0.3038648728144991,-36.54567994153879,-37.10964578618073,0.3031777078180705,-14.789695992215973,18.000175554375666,1442,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,0,10,0.006949043273925782,0.0019219103918665362,0.16614913940429688,0.005578767221652848,auto,1,5,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",-0.6043720538253766,-0.14250970232089488,-36.75249933924762,-22.302807207646307,-0.13088943515681903,-11.986615547639403,15.034422916941107,1362,0.22307345458355135,0.22307345458355135,0.29857161494874546,0.19709076996726405,0.027077804357616295,0.1937774196881457,0.08999786522237176
11,0,10,0.0044253826141357425,0.001251758179785204,0.0280515193939209,0.04308051123974748,auto,1,5,2,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",-1.0701397231148997,0.07796560000612605,-36.355465007392176,-19.777305699616235,0.2111458177362055,-11.382759802476198,14.602886106887025,1282,1.0,1.0,0.9999999999999994,0.999999999999999,0.9999999999999987,0.9999999999999994,5.324442579404919e-16
