,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0,500,9.00182147026062,3.794367985872991,0.01441335678100586,0.00671495227010618,relu,0.05,"(36, 36, 36)",invscaling,5000,lbfgs,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (36, 36, 36), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'lbfgs'}",0.2652571661195077,0.612659450634603,0.5038933095715517,0.5098122157538546,0.6857036026262219,0.5154651489411478,0.14226578027231523,22,0.9759292208177411,0.9795458885601371,0.9789664591071527,0.9787583526355763,0.9821518027381099,0.9790703447717435,0.0019847577238498197
1,0,500,35.07102103233338,10.465557724707958,0.014209794998168945,0.004072349354237454,relu,0.05,"(100, 100, 100)",invscaling,5000,lbfgs,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'lbfgs'}",0.33568242836727136,0.5704565004942205,-0.00034330581154723617,0.4545130096679162,0.6426888949561834,0.40059950553480883,0.22597995575416055,32,0.9900604514732299,0.9895361794279364,0.9943615256396506,0.9925890701039684,0.9961404967947366,0.9925375446879043,0.0025081869740069167
2,0,500,5.821047306060791,1.1688909539499588,0.014996719360351563,0.004793974181434516,relu,0.05,"(9, 18, 9)",invscaling,5000,lbfgs,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (9, 18, 9), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'lbfgs'}",0.29263440606787877,0.4399614460015942,0.45497644005959503,0.35788412442992407,0.23779037748619797,0.356649358809038,0.08346977302152958,34,0.9334602252689522,0.928331076478198,0.9300505241660993,0.9223062102096812,0.9293454979217068,0.9286987068089274,0.0036308944294023682
3,0,500,5.744225406646729,1.6376196703601946,0.013196372985839843,0.0011675725309474832,relu,0.05,"(18, 18, 18)",invscaling,5000,lbfgs,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (18, 18, 18), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'lbfgs'}",0.29455768722870773,0.4448397107277581,-0.9091608050382131,0.30279669168033585,0.3998806866322885,0.10658279424617542,0.5110794280052888,37,0.9569703561229654,0.9625347064149262,0.9578783874453823,0.9594068400343229,0.9588512021421558,0.9591282984319506,0.0018961527157801638
4,0,500,5.70799298286438,1.59282576832974,0.01622314453125,0.005448242907666876,relu,0.05,"(18, 9, 18)",invscaling,5000,lbfgs,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (18, 9, 18), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'lbfgs'}",0.36929935729290847,0.4625851633442764,0.2542709333448342,0.3661327447048303,0.3799137510177067,0.3664403899409112,0.06635601592088004,33,0.9214340524214206,0.9407302669899246,0.9503020535308823,0.9409006235053387,0.9275518142468385,0.9361837621388809,0.010337408771067166
5,0,500,4.263620471954345,1.4251171907660534,0.015185165405273437,0.0036651348100214475,relu,0.05,"(10, 18, 9)",invscaling,5000,lbfgs,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (10, 18, 9), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'lbfgs'}",0.3349493097217319,0.5503862095703475,0.41372202368198663,0.5758472522987883,0.4148244689758689,0.45794585284974465,0.0909827565834027,27,0.9058120442196793,0.9243408179155217,0.9081884926117906,0.909557555148911,0.9164682983812178,0.912873441655424,0.006741378164451174
6,0,500,12.367798662185669,3.3977272386625397,0.02000703811645508,0.0070560161052518585,tanh,0.05,"(36, 36, 36)",invscaling,5000,lbfgs,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (36, 36, 36), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'lbfgs'}",0.21015707973159528,0.5849964691163825,0.42693885692655986,0.5245111985298619,0.6029307327160731,0.46990686740409443,0.14369328464673004,26,0.9786477945324283,0.9778790239283913,0.9818150669392905,0.9815875139243624,0.9831267382055495,0.9806112275060045,0.0020025066323275135
7,0,500,38.431014156341554,5.473066222085514,0.017386817932128908,0.004323488431421414,tanh,0.05,"(100, 100, 100)",invscaling,5000,lbfgs,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'lbfgs'}",0.3197865324739468,0.6110099003012962,0.5197706990495657,0.5412882308900527,0.5859561609377738,0.515562304730527,0.10302739961208175,21,0.9909538729794654,0.989621476163463,0.9900567364225377,0.9918000233175602,0.9936516472780488,0.991216751232215,0.001430284374450144
8,0,500,4.6188068866729735,1.1773254290727821,0.014418935775756836,0.0025306799871960255,tanh,0.05,"(9, 18, 9)",invscaling,5000,lbfgs,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (9, 18, 9), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'lbfgs'}",0.15718451060747804,0.3333255334924256,0.4349809142144849,0.3422912491038528,0.4612527918569015,0.3458069998550285,0.10679542017237897,35,0.9478554238882326,0.9495899948768537,0.9589752578147018,0.9566194371016131,0.945028729967472,0.9516137687297747,0.005307198685805281
9,0,500,5.489389419555664,1.227396946794411,0.013012552261352539,0.0016914554271972148,tanh,0.05,"(18, 18, 18)",invscaling,5000,lbfgs,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (18, 18, 18), 'learning_rate': 'invscaling', 'max_iter': 5000, 'solver': 'lbfgs'}",0.3287619260795168,0.41362104896457774,0.39768262472257165,0.368731948496657,0.6672615790034793,0.43521182545336046,0.11955989777214696,30,0.9676631683120828,0.9686684880949618,0.9713702458731631,0.9750013444024848,0.97040154411232,0.9706209581590025,0.002543934683677196
