,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.018506193161010744,0.005398082733154296,0.48377351760864257,0.027724531446095154,auto,1,1,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}",0.48758888896055386,0.5176517195325215,0.46386447156851807,0.4852519907265205,0.46377001605298296,0.4836254173682194,0.019803413984550218,1541
1,0.018613243103027345,0.006066121284105239,0.4742583274841309,0.00772411487747787,auto,1,1,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 1, 'p': 1, 'weights': 'distance'}",0.48758888896055386,0.5176517195325215,0.46386447156851807,0.4852519907265205,0.46377001605298296,0.4836254173682194,0.019803413984550218,1541
2,0.015807151794433594,0.0,0.2895963668823242,0.012496435673031922,auto,1,1,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}",0.489704004782248,0.5300356748737088,0.46550850391484827,0.49109986052324966,0.46531980153432023,0.48833356912567505,0.023660994004617315,1481
3,0.012498712539672852,0.006249356286891207,0.07813200950622559,8.182447828798796e-06,auto,1,1,2,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 1, 'p': 2, 'weights': 'distance'}",0.489704004782248,0.5300356748737088,0.46550850391484827,0.49109986052324966,0.4653198015343203,0.48833356912567505,0.023660994004617304,1481
4,0.009386730194091798,0.007664233109567002,0.2812478065490723,0.013964607307502822,auto,1,3,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.6685080019017506,0.6617666961391199,0.6498259343000499,0.64386952420519,0.6501923375146689,0.6548324988121558,0.008965334066685366,1322
5,0.009377765655517577,0.007656915041123185,0.2906174182891846,0.018745805318848292,auto,1,3,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.6666103383817196,0.6687392590800593,0.6363573889956899,0.6515283209222497,0.638913571684981,0.6524297758129398,0.013482652648195275,1401
6,0.009373855590820313,0.007653721888166939,0.07811613082885742,4.685152572466517e-06,auto,1,3,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.6692844083937183,0.6618101405244138,0.6561456323446653,0.645281316335451,0.6463306093924345,0.6557704213981366,0.009147439101896419,1290
7,0.01250009536743164,0.006250047917454171,0.09063167572021484,0.015307365073135109,auto,1,3,2,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.6672648961166759,0.6693059723143403,0.6411162018662843,0.6528932159570116,0.6354326178779304,0.6532025808264484,0.013557402221051939,1364
8,0.015620756149291991,9.311642035297647e-06,0.2718660831451416,0.012503268828966657,auto,1,5,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.6891000027627641,0.689994697403199,0.6849216089608489,0.6784262960883336,0.6789671351869966,0.6842819480804284,0.004874304424909164,1248
9,0.012502765655517578,0.00625138361611622,0.2812510967254639,0.009884530922383667,auto,1,5,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.6924287548586519,0.7006030061883177,0.6740503905975946,0.6891087666908348,0.6763999434842922,0.6865181723639383,0.009978505359900554,1201
10,0.009374523162841797,0.007654266493983918,0.0781254768371582,4.76837158203125e-07,auto,1,5,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.6906879517657872,0.6912995279904087,0.6913730659363548,0.6799202128919949,0.6786840621619109,0.6863929641492913,0.005807691104943469,1221
11,0.00625152587890625,0.007656525975032588,0.09062328338623046,0.006250339507333741,auto,1,5,2,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.6940013881336584,0.7027232816478126,0.679374120039214,0.6911798817803185,0.6766832384987389,0.6887923820199486,0.009614976648906218,1135
12,0.006250190734863281,0.0076548890477430315,0.3073976993560791,0.01822580555694703,auto,1,7,1,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.6980552856967369,0.7022714907385051,0.7043028195869486,0.6936717490326111,0.6944328889799287,0.6985468468069461,0.004193734724512353,1096
13,0.012505435943603515,0.00625272052546133,0.2855255603790283,0.011690921585365756,auto,1,7,1,distance,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.706584152731272,0.7147611255758965,0.6951016738852858,0.704481625136989,0.6918497059186038,0.7025556566496094,0.00823517877292853,1021
14,0.009375858306884765,0.007655358955132868,0.0917654037475586,0.007655512627226968,auto,1,7,2,uniform,"{'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.7018842482479432,0.7010463048714509,0.7083562159350291,0.6961842269001399,0.6959613491303046,0.7006864690169735,0.00453841639203184,1052
