,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0,25,14.584451389312743,2.5666694614712053,0.003585195541381836,0.0010178211572875362,relu,0.05,"(100, 100, 100)",invscaling,10000,lbfgs,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'lbfgs'}",-0.8179279349096794,0.31400992877391004,-0.047496266377289875,0.6357047757598122,-15.07676541257242,-2.998494981865133,6.058514328178253,78,0.9998482603916341,0.9997266985992853,0.9997142351190855,0.9997655016420409,0.9997564889991275,0.9997622369502347,4.6927347691069146e-05
1,0,25,1.431870126724243,0.5286236246594186,0.003795623779296875,0.0011635764271837848,relu,0.05,"(100, 100, 100)",invscaling,10000,sgd,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'sgd'}",-1.3209288178206036,-0.09017593520304414,-0.23821386278945214,-0.22722475771360953,-14.978159315658473,-3.3709405378370363,5.8204882529400095,94,-0.019152730231240964,0.015014639441054757,-0.03787106487292283,0.03288933449787593,-0.01788148961781206,-0.0054002621566090325,0.025620795714923733
2,0,25,5.940781450271606,1.0320727979392594,0.0044023990631103516,0.0018413140615256036,relu,0.05,"(100, 100, 100)",invscaling,10000,adam,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'adam'}",-0.7739546030127857,0.38369671966622404,-0.5086823983498965,0.5800764077607338,-16.99961711692284,-3.463696198171713,6.787378001515298,95,0.9998643674041722,0.9998064852314447,0.9997850088355125,0.9998015717327529,0.9997831307605559,0.9998081127928875,2.9556422315728133e-05
3,0,25,10.24134840965271,1.756243083552755,0.0036303520202636717,0.0008527601865012873,relu,0.1,"(100, 100, 100)",invscaling,10000,lbfgs,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'lbfgs'}",-0.7219594200809707,0.33427974542895084,-0.16604587795430126,0.6228787093122574,-14.743016936391772,-2.934772755937167,5.9218343478068896,76,0.9993848445367104,0.999245426503712,0.998753734202737,0.9989539708923869,0.9991539452104211,0.9990983842691934,0.00022199406005442697
4,0,25,1.6499550819396973,0.7386012673467072,0.003987550735473633,0.0009145670936316249,relu,0.1,"(100, 100, 100)",invscaling,10000,sgd,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'sgd'}",-1.320890746751724,-0.09001207109449134,-0.23844106569721182,-0.2271636149752189,-14.977202910700818,-3.3707420818438925,5.820110103843655,93,-0.01900747105425471,0.01517579145449984,-0.037402104482757714,0.03284494812282626,-0.017657350999412076,-0.005209237391819679,0.02547704030052883
5,0,25,6.583938360214233,0.7989337696479536,0.003809833526611328,0.0007383136375498408,relu,0.1,"(100, 100, 100)",invscaling,10000,adam,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'adam'}",-0.7199253686631337,0.38504658835389427,-0.3858898710972698,0.6027477531724831,-16.176096128494624,-3.25882340534573,6.476807937253825,81,0.9994623245754511,0.999272893587609,0.9991208296265578,0.9991181504495888,0.9991695156857934,0.999228742785,0.00012953262901560676
6,0,25,7.370268821716309,1.9842776418552897,0.0034097671508789063,0.00046497932886194773,relu,0.2,"(100, 100, 100)",invscaling,10000,lbfgs,"{'activation': 'relu', 'alpha': 0.2, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'lbfgs'}",-0.6834345261510185,0.310306358108164,0.11308172863162483,0.6063269718292453,-14.33791897362375,-2.798327688241147,5.78561187605685,74,0.9979507057966157,0.9967935734162102,0.9961742481367497,0.9954303933327958,0.9966056586377791,0.99659091586403,0.0008259225912946167
7,0,25,1.6274489402770995,0.760815598590823,0.0029962539672851564,0.000622424702645257,relu,0.2,"(100, 100, 100)",invscaling,10000,sgd,"{'activation': 'relu', 'alpha': 0.2, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'sgd'}",-1.3222976310191534,-0.08870260032925573,-0.23932782993736254,-0.2260957817170516,-14.969496925266798,-3.3691841536539244,5.8171052109860515,92,-0.017514232391893942,0.016366634293964108,-0.03572702419690278,0.03408054331596639,-0.01639340547543491,-0.0038374968908602264,0.025328365822580724
8,0,25,6.321987771987915,0.5414248254035193,0.003031015396118164,0.0009352175954635201,relu,0.2,"(100, 100, 100)",invscaling,10000,adam,"{'activation': 'relu', 'alpha': 0.2, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'adam'}",-0.7528995661745062,0.4077595555811721,-0.36709687553118336,0.6114704412480804,-14.852858232825444,-2.990724935540376,5.951924080707919,77,0.9979404655909728,0.997239216193679,0.9967730779608122,0.9963504136047724,0.9970970246985922,0.9970800396097657,0.0005277382131958522
9,0,25,7.392198848724365,1.8744288931383857,0.003790140151977539,0.0011745581671871905,relu,0.3,"(100, 100, 100)",invscaling,10000,lbfgs,"{'activation': 'relu', 'alpha': 0.3, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate': 'invscaling', 'max_iter': 10000, 'solver': 'lbfgs'}",-0.742040360163224,0.38186902412754964,-0.04662285567246993,0.6459901314468084,-13.523685980466881,-2.6568980081456433,5.453631306902439,68,0.9961492742055866,0.9945279527202625,0.9925085767733877,0.9919984208245154,0.9925947402823048,0.9935557929612113,0.0015567229380898323
